"Reporting starts","Reporting ends","Ad name","Campaign name","Ad set name",Impressions,"Link clicks","Landing page views","Amount spent (AED)",Leads
2025-01-05,2025-01-05,_CampusLife_NA_En_StaticImage_Mar_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,1194,4,,17.2,2
2025-01-04,2025-01-04,_GrantsAndScholarships_NA_En_StaticImage_May_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,15454,56,,142.64,7
2025-01-04,2025-01-04,_Employability_NA_En_StaticImage_Mar_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,189,,,2.12,
2025-01-04,2025-01-04,_CampusLife_NA_En_StaticImage_Mar_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,506,6,,18.2,2
2025-01-03,2025-01-03,_GrantsAndScholarships_NA_En_StaticImage_May_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,13554,61,,146.12,11
2025-01-03,2025-01-03,_Employability_NA_En_StaticImage_Mar_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,257,3,,4.14,
2025-01-03,2025-01-03,_CampusLife_NA_En_StaticImage_Mar_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,583,3,,11.32,
2025-01-02,2025-01-02,_GrantsAndScholarships_NA_En_StaticImage_May_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,11570,56,,137.46,10
2025-01-02,2025-01-02,_Employability_NA_En_StaticImage_Mar_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,737,4,,8.7,
2025-01-02,2025-01-02,_CampusLife_NA_En_StaticImage_Mar_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,1195,6,,18.48,1
