Date,Platform,Campaign name,Ad set name,Ad name,Impressions,Clicks,Conversions
2025-01-13,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_GrantsAndScholarships_NA_En_StaticImage_May_24,11373,56.0,6.0
2025-01-13,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_Employability_NA_En_StaticImage_Mar_24,529,3.0,
2025-01-13,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_CampusLife_NA_En_StaticImage_Mar_24,359,5.0,1.0
2025-01-14,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_GrantsAndScholarships_NA_En_StaticImage_May_24,12522,49.0,7.0
2025-01-14,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_Employability_NA_En_StaticImage_Mar_24,465,1.0,1.0
2025-01-14,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_CampusLife_NA_En_StaticImage_Mar_24,325,1.0,1.0
2025-01-15,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_GrantsAndScholarships_NA_En_StaticImage_May_24,11755,51.0,9.0
2025-01-15,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_CampusLife_NA_En_StaticImage_Mar_24,480,3.0,1.0
2025-01-15,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_CampusLife_NA_En_StaticImage_Mar_24,540,8.0,1.0
2025-01-16,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_Employability_NA_En_StaticImage_Mar_24,317,1.0,
